"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://medimotive.de/work-journey.html","text/html; charset=utf-8","200","OK","Indexable","","7a37f5af459c13b3ec3629cc348e018a","39","https://medimotive.de/work-journey.html","https://medimotive.de/work-journey.html"
"https://medimotive.de/assets/fonts/fonts.css","text/css; charset=utf-8","200","OK","Indexable","","","44","","https://medimotive.de/assets/fonts/fonts.css"
"https://medimotive.de/assets/regions-upgrade.css","text/css; charset=utf-8","200","OK","Indexable","","","48","","https://medimotive.de/assets/regions-upgrade.css"
"https://medimotive.de/assets/images/homepage_img/comPat03.jpg","image/jpeg","200","OK","Indexable","","","61","","https://medimotive.de/assets/images/homepage_img/comPat03.jpg"
"https://medimotive.de/assets/images/work-journey/work-shop-floor-assembly-detail.jpg","image/jpeg","200","OK","Indexable","","","84","","https://medimotive.de/assets/images/work-journey/work-shop-floor-assembly-detail.jpg"
"https://medimotive.de/assets/images/work-journey/bjoern-seiler-travel-context.jpg","image/jpeg","200","OK","Indexable","","","81","","https://medimotive.de/assets/images/work-journey/bjoern-seiler-travel-context.jpg"
"https://medimotive.de/assets/images/work-journey/bjoern-seiler-manufacturing-context.jpg","image/jpeg","200","OK","Indexable","","","88","","https://medimotive.de/assets/images/work-journey/bjoern-seiler-manufacturing-context.jpg"
"https://medimotive.de/assets/images/work-journey/work-international-workshop.jpg","image/jpeg","200","OK","Indexable","","","80","","https://medimotive.de/assets/images/work-journey/work-international-workshop.jpg"
"https://medimotive.de/assets/images/work-journey/regional-hero-hall.jpg","image/jpeg","200","OK","Indexable","","","71","","https://medimotive.de/assets/images/work-journey/regional-hero-hall.jpg"
"https://medimotive.de/assets/images/work-journey/work-international-context.jpg","image/jpeg","200","OK","Indexable","","","79","","https://medimotive.de/assets/images/work-journey/work-international-context.jpg"
"https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-medical-device-risk-manager.jpg","image/jpeg","200","OK","Indexable","","","113","","https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-medical-device-risk-manager.jpg"
"https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-process-validation-medical-devices.jpg","image/jpeg","200","OK","Indexable","","","109","","https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-process-validation-medical-devices.jpg"
"https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-iso-14971-risk-management.jpg","image/jpeg","200","OK","Indexable","","","100","","https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-iso-14971-risk-management.jpg"
"https://medimotive.de/assets/images/certificates/ai-and-other/bjoern-seiler-dgq-chatgpt-in-audits.jpg","image/jpeg","200","OK","Indexable","","","101","","https://medimotive.de/assets/images/certificates/ai-and-other/bjoern-seiler-dgq-chatgpt-in-audits.jpg"
"https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-eu-mdr-prrc-article-15.jpg","image/jpeg","200","OK","Indexable","","","108","","https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-eu-mdr-prrc-article-15.jpg"
"https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-eu-mdr-technical-documentation.jpg","image/jpeg","200","OK","Indexable","","","116","","https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-eu-mdr-technical-documentation.jpg"
"https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-design-control.jpg","image/jpeg","200","OK","Indexable","","","89","","https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-design-control.jpg"
"https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-vda-product-safety-psb.jpg","image/jpeg","200","OK","Indexable","","","108","","https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-vda-product-safety-psb.jpg"
"https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-tuev-methods-certificate.jpg","image/jpeg","200","OK","Indexable","","","99","","https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-tuev-methods-certificate.jpg"
"https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-ppc.jpg","image/jpeg","200","OK","Indexable","","","78","","https://medimotive.de/assets/images/certificates/methods/bjoern-seiler-ppc.jpg"
"https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-eu-mdr-udi.jpg","image/jpeg","200","OK","Indexable","","","96","","https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-eu-mdr-udi.jpg"
"https://medimotive.de/assets/images/certificates/ai-and-other/bjoern-seiler-dgq-ai-tools-in-audits.jpg","image/jpeg","200","OK","Indexable","","","102","","https://medimotive.de/assets/images/certificates/ai-and-other/bjoern-seiler-dgq-ai-tools-in-audits.jpg"
"https://medimotive.de/assets/images/certificates/ai-and-other/bjoern-seiler-lsi-chinese-level-1.jpg","image/jpeg","200","OK","Indexable","","","99","","https://medimotive.de/assets/images/certificates/ai-and-other/bjoern-seiler-lsi-chinese-level-1.jpg"
"https://medimotive.de/assets/images/certificates/quality-management/bjoern-seiler-medical-device-quality-management.jpg","image/jpeg","200","OK","Indexable","","","119","","https://medimotive.de/assets/images/certificates/quality-management/bjoern-seiler-medical-device-quality-management.jpg"
